id,predicciones
0,7410.541
1,11370.663
2,7210.0913
3,6239.067
4,7821.605
5,9207.244
6,10658.55
7,13061.295
8,7575.2617
9,7417.706
10,8561.005
11,10843.6455
12,9414.812
13,6720.797
14,11130.735
15,11960.54
16,8982.98
17,6898.573
18,8243.646
19,11916.426
20,6973.4277
21,10614.011
22,17301.135
23,11178.724
24,15847.912
25,11381.95
26,7562.7656
27,9480.942
28,8268.563
29,23509.832
30,7120.305
31,7650.693
32,5620.388
33,8450.124
34,8206.418
35,16083.783
36,8139.7324
37,9849.341
38,8210.854
39,7518.3267
40,10614.011
41,21722.13
42,35694.83
43,15098.437
44,8057.2837
45,11421.07
46,6600.0317
47,12606.845
48,8863.333
49,8165.5405
50,9495.987
51,7984.0225
52,6428.9917
53,7903.171
54,8321.3
55,9381.688
56,14852.266
57,11539.869
58,7506.227
59,7569.374
60,8213.596
61,9264.05
62,9125.532
63,11305.995
64,11627.514
65,19410.973
66,8180.389
67,11405.136
68,16346.52
69,11904.107
70,8158.0264
71,8918.768
72,16293.091
73,17364.303
74,16293.567
75,8417.761
76,10493.588
77,7533.8496
78,7477.6455
79,8781.879
80,13074.593
81,8236.877
82,8535.806
83,7814.204
84,14662.234
85,8382.5625
86,8307.671
87,8924.443
88,8221.91
89,9820.914
90,14399.309
91,8606.46
92,8885.981
93,10203.632
94,9414.758
95,8099.439
96,7076.35
97,6759.2627
98,6283.579
99,6706.8296
100,14335.242
101,6883.1694
102,16734.918
103,9422.212
104,12098.778
105,6569.5513
106,9205.319
107,8309.216
108,6477.6567
109,12282.974
110,13279.811
111,8806.86
112,7524.243
113,11274.551
114,7684.7075
115,10842.263
116,10679.668
117,7380.312
118,8725.978
119,8506.596
120,8982.747
121,7533.8496
122,7650.5156
123,11432.734
124,7581.7153
125,12055.696
126,6924.0405
127,12270.745
128,10206.49
129,10442.402
130,13510.784
131,9941.223
132,7948.401
133,7578.858
134,9769.212
135,9547.017
136,26704.281
137,9369.197
138,8384.774
139,7448.1533
140,15982.423
141,10755.746
142,12341.233
143,7058.617
144,8234.0625
145,7929.7017
146,17711.066
147,13063.39
148,7083.6675
149,8109.547
150,14660.664
151,10362.447
152,10402.544
153,8136.5854
154,6199.0894
